City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,inongo,-1.95,18.2667,298.47,82,100,1.22,CD,1708636411
289,east london,-33.0153,27.9116,294.34,90,100,4.72,ZA,1708636411
290,sangkhla buri,15.1555,98.4536,291.56,62,59,0.58,TH,1708636411
291,rottach-egern,47.7,11.7667,280.89,77,100,2.38,DE,1708636412
292,chinde,26.8418,88.0763,284.32,69,28,1.87,NP,1708636412
293,loukhi,66.0764,33.0381,273.31,94,100,4.74,RU,1708636412
294,kiuruvesi,63.65,26.6167,273.91,97,100,4.37,FI,1708636413
295,naifaru,5.4444,73.3657,300.75,78,54,3.97,MV,1708636413
296,solnechnyy,50.7214,136.6319,240.94,88,2,1.82,RU,1708636413
297,qarazhal,48.0078,70.7903,258.81,96,100,2.57,KZ,1708636413
298,ploneour-lanvern,47.9,-4.2833,280.33,81,75,7.72,FR,1708636414
299,sorong,-0.8833,131.25,299.95,87,31,5.63,ID,1708636414
300,myshkin,57.7897,38.4545,268.2,94,100,4.44,RU,1708636415
301,aykhal,66.0,111.5,247.32,81,88,2.18,RU,1708636415
302,harran,36.86,39.0314,283.71,70,1,1.09,TR,1708636415
303,talara,-4.5772,-81.2719,304.57,55,0,2.06,PE,1708636416
304,pasighat,28.0667,95.3333,289.76,92,84,0.81,IN,1708636416
305,murzuq,25.9155,13.9184,286.31,38,0,4.27,LY,1708636416
306,belmonte,-15.8631,-38.8828,299.32,89,100,4.19,BR,1708636417
307,strelka,58.0728,93.0344,243.26,100,96,1.05,RU,1708636417
308,eger,47.9026,20.3733,282.72,71,100,5.91,HU,1708636417
309,roxas city,11.5853,122.7511,297.12,84,0,3.63,PH,1708636417
310,osakarovka,50.565,72.5692,256.35,91,99,2.29,KZ,1708636418
311,bereznik,62.8551,42.7072,269.13,92,100,3.93,RU,1708636418
312,labrador city,52.9463,-66.9114,268.81,87,100,4.92,CA,1708636418
313,champoton,19.35,-90.7167,302.74,37,0,1.0,MX,1708636419
314,liberia,6.5,-9.5,299.41,80,59,2.79,LR,1708636419
315,san fernando,15.0286,120.6898,295.24,87,8,2.3,PH,1708636128
316,esmeraldas,-19.7625,-44.3139,295.78,94,100,2.76,BR,1708636420
317,kandahar,31.0,65.75,279.01,26,0,2.77,AF,1708636420
318,defiance,41.3334,-84.45,285.32,87,100,0.0,US,1708636358
319,bubaque,11.2833,-15.8333,300.38,74,33,5.62,GW,1708636420
320,hamilton,39.1834,-84.5333,286.16,90,100,7.2,US,1708636421
321,okhotsk,59.3833,143.3,247.71,78,47,7.78,RU,1708636421
322,akureyri,65.6835,-18.0878,271.11,100,100,1.54,IS,1708636421
323,payakumbuh,-0.2202,100.6308,294.79,96,91,1.11,ID,1708636422
324,balcesti,44.6167,23.95,280.99,58,100,1.96,RO,1708636422
325,hovd,48.0056,91.6419,252.04,80,0,1.2,MN,1708636266
326,sao jose da coroa grande,-8.8978,-35.1478,301.1,77,35,3.75,BR,1708636422
327,champerico,14.3,-91.9167,308.45,58,0,5.16,GT,1708636423
328,kikwit,-5.041,18.8162,297.0,91,100,1.39,CD,1708636423
329,teshi old town,5.5836,-0.1072,302.03,75,100,5.9,GH,1708636423
330,rabo de peixe,37.8,-25.5833,285.88,71,40,3.6,PT,1708636424
331,taroa,8.7058,171.2275,300.38,74,95,9.38,MH,1708636424
332,kaa-khem,51.6833,94.7333,236.71,94,70,1.41,RU,1708636424
333,choma,-16.8065,26.9531,292.11,48,3,1.36,ZM,1708636425
334,sinop,41.7711,34.8709,275.18,85,4,2.81,TR,1708636425
335,bac lieu,9.285,105.7244,298.15,84,9,2.94,VN,1708636425
336,warrnambool,-38.3833,142.4833,289.01,69,100,7.67,AU,1708636425
337,tofol,5.3248,163.0078,301.4,83,100,9.56,FM,1708636430
338,karratha,-20.7377,116.8463,302.36,81,100,8.28,AU,1708636262
339,mirny,62.5353,113.9611,244.59,100,80,1.83,RU,1708636431
340,dunedin,-45.8742,170.5036,290.26,70,23,2.68,NZ,1708636195
341,haiku-pauwela,20.9219,-156.3051,298.85,63,18,3.58,US,1708636431
342,santa rosalia,27.3167,-112.2833,292.65,51,96,4.84,MX,1708636432
343,torghay,49.6339,63.4981,251.56,96,10,3.53,KZ,1708636432
344,el granada,37.5027,-122.4694,292.36,76,0,3.6,US,1708636432
345,mungaoli,24.4167,78.1,290.19,39,22,2.02,IN,1708636432
346,stiens,53.2623,5.7577,282.14,85,75,10.29,NL,1708636433
347,santa cruz,-17.8,-63.1667,302.85,74,40,7.2,BO,1708636157
348,miramichi,47.0043,-65.4654,272.65,71,93,1.85,CA,1708636433
349,kavieng,-2.5744,150.7967,300.93,75,100,1.18,PG,1708636434
350,dampit,-8.2116,112.7493,295.72,94,100,1.12,ID,1708636434
351,puerto baquerizo moreno,-0.9,-89.6,299.7,94,75,3.09,EC,1708636434
352,sept-iles,50.2001,-66.3821,270.4,86,100,3.13,CA,1708636193
353,hasaki,35.7333,140.8333,275.53,92,100,9.0,JP,1708636435
354,le grau-du-roi,43.5388,4.1356,286.14,62,0,6.69,FR,1708636435
355,fortuna,40.5982,-124.1573,291.44,65,0,4.63,US,1708636254
356,egilsstadir,65.2653,-14.3948,269.1,86,40,3.09,IS,1708636436
357,bansdih,25.8833,84.2167,288.94,28,40,1.68,IN,1708636436
358,mhamid,29.82,-5.72,292.36,17,5,3.82,MA,1708636436
359,bamiantong,44.9333,130.5333,249.72,99,12,1.76,CN,1708636436
360,coalcoman de vazquez pallares,18.7833,-103.15,305.89,22,0,1.97,MX,1708636437
361,hilo,19.7297,-155.09,297.94,78,15,2.68,US,1708636437
362,arraial do cabo,-22.9661,-42.0278,297.53,93,100,11.21,BR,1708636437
363,kolonia,50.9333,6.95,282.92,66,40,14.92,DE,1708636245
364,ad dawadimi,24.5077,44.3924,291.79,32,0,8.99,SA,1708636438
365,masterton,-40.9597,175.6575,293.76,59,100,2.58,NZ,1708636438
366,hammerfest,70.6634,23.6821,272.4,80,0,2.06,NO,1708636438
367,arno,60.1167,18.6333,274.7,91,100,7.47,SE,1708636439
368,carnarvon,-24.8667,113.6333,297.29,83,95,7.91,AU,1708636275
369,sabang,5.8933,95.3214,301.28,75,54,2.57,ID,1708636439
370,whitehorse,60.7161,-135.0538,278.2,55,79,9.39,CA,1708636440
371,kawm hamadah,30.761,30.6973,284.23,85,97,3.2,EG,1708636440
372,poso,-1.3959,120.7524,298.64,78,9,1.91,ID,1708636441
373,mugia,43.1041,-9.2179,283.66,69,88,12.24,ES,1708636441
374,namtsy,62.7161,129.6658,230.83,100,99,0.61,RU,1708636441
375,laojunmiao,39.8333,97.7333,261.32,81,80,1.42,CN,1708636441
376,konstantinovsk,47.5828,41.0922,271.75,85,56,3.89,RU,1708636442
377,kapa'a,22.0752,-159.319,300.14,77,73,1.34,US,1708636442
378,yaren,-0.5472,166.916,302.49,75,47,7.86,NR,1708636443
379,liepaja,56.5419,21.0367,280.14,87,100,5.14,LV,1708636443
380,olyokminsk,60.3736,120.4264,243.12,100,87,1.39,RU,1708636443
381,borovichi,58.3878,33.9155,273.16,88,100,4.47,RU,1708636444
382,puerto gaitan,4.3133,-72.0816,310.57,25,22,6.67,CO,1708636444
383,yanam,16.7333,82.2167,294.98,95,95,1.2,IN,1708636444
384,zouerate,22.7187,-12.4521,294.06,11,0,5.12,MR,1708636445
385,amara,31.8406,47.1396,288.89,46,40,3.35,IQ,1708636445
386,natal,-5.795,-35.2094,302.51,74,75,3.09,BR,1708636321
387,guerrero negro,27.9769,-114.0611,291.55,61,99,6.0,MX,1708636446
388,klyuchi,52.2667,79.1667,248.7,87,60,2.93,RU,1708636446
389,kargasok,59.0556,80.8572,254.8,90,100,2.68,RU,1708636446
390,sale,34.0389,-6.8166,290.53,88,75,2.06,MA,1708636447
391,igarka,67.4667,86.5833,254.52,95,100,7.76,RU,1708636447
392,newman,37.3138,-121.0208,292.18,68,4,1.34,US,1708636447
393,kimbe,-5.5502,150.1429,298.42,92,62,0.52,PG,1708636447
394,ta`u,-14.2336,-169.5144,301.71,77,73,5.52,AS,1708636448
395,suva,-18.1416,178.4415,299.86,94,75,0.0,FJ,1708636448
396,royan,45.6285,-1.0281,282.21,67,11,10.03,FR,1708636448
397,nizhniy lomov,53.5304,43.6766,261.95,94,95,5.12,RU,1708636449
398,vorkuta,67.5,64.0,258.53,98,99,3.19,RU,1708636450
399,grand falls-windsor,48.9332,-55.6649,270.65,77,100,0.89,CA,1708636228
400,trairi,-3.2778,-39.2689,298.64,89,73,2.56,BR,1708636451
401,ovidiu,44.2667,28.5667,278.77,93,0,4.63,RO,1708636451
402,veraval,20.9,70.3667,294.85,54,0,5.73,IN,1708636451
403,alice town,25.7167,-79.3,294.0,65,0,2.82,BS,1708636452
404,jati,24.3539,68.2671,292.87,14,0,2.2,PK,1708636452
405,atbasar,51.8,68.3333,244.19,96,30,2.42,KZ,1708636452
406,glace bay,46.1969,-59.957,272.03,95,100,6.17,CA,1708636453
407,leh,34.1667,77.5833,250.84,80,68,1.97,IN,1708636453
408,kismayo,-0.3582,42.5454,300.14,86,100,7.47,SO,1708636454
409,mezhdurechenskiy,59.6,65.9333,258.45,98,98,2.49,RU,1708636454
410,port alfred,-33.5906,26.891,292.14,99,100,0.45,ZA,1708636454
411,aasiaat,68.7098,-52.8699,254.15,96,100,2.88,GL,1708636455
412,hinton,53.4001,-117.5857,278.57,64,34,4.08,CA,1708636456
413,jashpurnagar,22.9,84.15,287.21,77,3,3.26,IN,1708636456
414,la passe,45.5549,-0.8967,281.28,67,10,9.28,FR,1708636456
415,la'ie,21.6477,-157.9253,300.13,67,77,4.02,US,1708636457
416,nouadhibou,20.931,-17.0347,297.14,41,1,4.63,MR,1708636457
417,benguela,-12.5763,13.4055,300.87,77,100,2.2,AO,1708636234
418,camapua,-19.5314,-54.0439,302.57,61,88,2.08,BR,1708636451
419,byron bay,-28.65,153.6167,296.32,84,10,2.75,AU,1708636167
420,pikeville,37.4793,-82.5188,292.11,41,75,5.14,US,1708636207
421,ponta delgada,37.7333,-25.6667,286.55,71,40,3.6,PT,1708636459
422,urucui,-7.2294,-44.5561,296.26,93,100,0.21,BR,1708636459
423,bangassou,4.7413,22.8184,298.54,32,100,0.94,CF,1708636459
424,katsuura,35.1333,140.3,280.25,94,100,9.34,JP,1708636460
425,greenville,35.6127,-77.3663,291.56,37,0,4.63,US,1708636440
426,cabedelo,-6.9811,-34.8339,302.52,77,14,3.94,BR,1708636460
427,gao,16.6362,1.637,296.46,10,0,5.21,ML,1708636460
428,santa marta,11.2408,-74.199,306.18,53,20,7.2,CO,1708636461
429,waingapu,-9.6567,120.2641,299.52,86,100,1.99,ID,1708636461
430,granja,-3.1203,-40.8261,297.56,94,77,1.67,BR,1708636461
431,plymouth,41.8334,-70.8328,278.83,67,0,4.63,US,1708636449
432,jiaozuo,35.2397,113.2331,268.42,94,75,1.72,CN,1708636462
433,altai,46.3722,96.2583,252.72,78,20,1.77,MN,1708636462
434,brigantine,39.4101,-74.3646,279.27,82,75,4.12,US,1708636463
435,barranca,-10.75,-77.7667,299.29,71,87,4.27,PE,1708636463
436,cove,7.221,2.3402,302.58,63,81,4.19,BJ,1708636463
437,rosetta,31.4044,30.4164,287.85,69,84,4.43,EG,1708636464
438,yanchep,-31.55,115.6833,292.56,50,96,7.51,AU,1708636464
439,simanggang,1.2472,111.4528,296.12,99,78,0.19,MY,1708636464
440,khost,33.3395,69.9204,280.22,54,3,1.46,AF,1708636465
441,damara,4.9608,18.7035,301.61,25,100,1.23,CF,1708636465
442,westport,41.1415,-73.3579,279.07,68,40,4.63,US,1708636465
443,aldama,22.9167,-98.0667,303.43,36,2,2.21,MX,1708636466
444,serebryanyye prudy,54.4692,38.721,269.04,95,100,5.44,RU,1708636466
445,kapuskasing,49.4169,-82.4331,274.2,64,100,4.12,CA,1708636467
446,okha,53.5739,142.9478,250.68,82,58,7.18,RU,1708636467
447,mata-utu,-13.2816,-176.1745,301.98,76,99,4.29,WF,1708636467
448,tubarjal,30.4999,38.216,288.65,42,97,2.93,SA,1708636468
449,shani,10.2162,12.062,302.36,15,67,5.48,NG,1708636468
450,keflavik,64.0049,-22.5624,275.1,86,75,9.26,IS,1708636469
451,san antonio de pale,-1.4014,5.6325,301.76,75,100,2.68,GQ,1708636469
452,balaipungut,1.05,101.2833,296.91,98,70,0.31,ID,1708636469
453,kavaratti,10.5669,72.642,300.63,67,9,4.13,IN,1708636469
454,pobe,6.9801,2.6649,301.57,68,62,3.51,BJ,1708636470
455,watampone,-4.5386,120.3279,298.55,90,100,1.58,ID,1708636470
456,saint-henri,46.6921,-71.0671,275.43,84,99,1.03,CA,1708636470
457,sao gabriel da cachoeira,-0.1303,-67.0892,309.51,37,22,0.5,BR,1708636451
458,kristiansund,63.1115,7.732,281.51,42,0,3.09,NO,1708636471
459,tual,-5.6667,132.75,302.05,71,72,2.67,ID,1708636471
460,novoishimskiy,53.1981,66.7694,240.69,93,8,0.83,KZ,1708636472
461,west modesto,37.6175,-121.0391,291.6,63,0,0.0,US,1708636472
462,asilah,35.465,-6.0348,290.13,87,86,5.74,MA,1708636472
463,gunnedah,-30.9833,150.25,297.35,64,3,1.4,AU,1708636473
464,tutoia,-2.7619,-42.2744,298.29,89,88,1.34,BR,1708636473
465,grantsville,40.5999,-112.4644,281.74,70,40,1.54,US,1708636473
466,banda aceh,5.5577,95.3222,299.36,84,20,1.96,ID,1708636212
467,baidoa,3.1138,43.6498,299.22,64,75,7.62,SO,1708636475
468,santa maria do suacui,-18.1903,-42.4142,294.71,99,100,0.54,BR,1708636334
469,la junta,37.985,-103.5438,286.52,76,75,3.09,US,1708636475
470,tauranga,-37.6861,176.1667,292.95,97,100,0.62,NZ,1708636476
471,nicolet,46.2168,-72.6158,274.4,85,100,2.06,CA,1708636184
472,paredon,16.0333,-93.8667,302.65,45,0,4.1,MX,1708636476
473,baise city,23.8997,106.6133,288.19,76,97,2.08,CN,1708636477
474,grosseto,42.8333,11.25,286.99,82,100,6.97,IT,1708636266
475,tsurusaki,33.24,131.6844,281.1,93,100,5.08,JP,1708636478
476,taoudenni,22.6783,-3.9836,293.01,17,0,5.33,ML,1708636478
477,porto novo,6.4965,2.6036,301.73,77,91,3.94,BJ,1708636478
478,menomonie,44.8755,-91.9193,286.17,38,0,7.2,US,1708636479
479,tropea,38.6754,15.8948,278.76,71,9,2.77,IT,1708636479
480,crucecita,-28.95,-58.9833,308.45,29,96,3.93,AR,1708636479
481,zaragoza,41.6561,-0.8773,283.72,69,75,7.72,ES,1708636461
482,wynyard,-41.0,145.7167,288.08,72,100,5.86,AU,1708636480
483,labytnangi,66.6572,66.4183,249.5,99,100,1.31,RU,1708636480
484,gamay,12.3854,125.2979,297.44,86,10,2.96,PH,1708636480
485,sanctuary point,-35.1114,150.629,298.7,57,73,2.26,AU,1708636481
486,boca suno,-0.7167,-77.1333,305.92,44,36,1.5,EC,1708636481
487,faya-largeau,17.9257,19.1043,296.65,47,100,7.86,TD,1708636481
488,seguela,7.9611,-6.6731,301.13,16,93,1.55,CI,1708636481
489,phan rang-thap cham,11.5667,108.9833,295.52,90,10,2.17,VN,1708636482
490,sur,22.5667,59.5289,295.5,55,3,2.67,OM,1708636482
491,mandalgovi,45.7625,106.2708,254.46,78,100,2.72,MN,1708636482
492,selkirk,50.1436,-96.8845,277.19,89,98,3.94,CA,1708636483
493,lorengau,-2.0226,147.2712,300.76,80,100,0.94,PG,1708636483
494,soverato marina,38.685,16.5499,284.35,75,9,2.54,IT,1708636483
495,dhuusamarreeb,5.535,46.3861,298.56,70,100,8.92,SO,1708636483
496,north bend,43.4065,-124.2243,289.4,67,0,2.57,US,1708636311
497,usogorsk,63.4106,48.6872,266.3,94,100,4.55,RU,1708636484
498,vernon,50.2581,-119.2691,283.31,78,100,0.45,CA,1708636224
499,marquette,46.5333,-87.6335,282.73,51,67,4.02,US,1708636485
500,tadmur,34.5608,38.2805,286.29,52,0,2.31,SY,1708636485
501,itamaraca,-7.7478,-34.8256,303.18,79,7,3.41,BR,1708636485
502,gereida,11.2811,25.1414,300.92,13,100,6.45,SD,1708636486
503,franklin,39.9667,-83.0166,283.41,95,100,1.54,US,1708636486
504,jiangzi,28.95,89.6333,263.35,48,53,3.1,CN,1708636486
505,aripuana,-9.1667,-60.6333,301.54,74,91,0.67,BR,1708636487
506,haparanda,65.8355,24.1368,273.18,98,100,7.37,SE,1708636487
507,rongelap,11.1635,166.8941,299.56,86,97,10.91,MH,1708636487
508,kirakira,-10.4544,161.9205,301.73,81,99,1.96,SB,1708636488
509,al jawf,29.5,38.75,289.82,39,78,3.9,SA,1708636488
510,yung shue wan,22.2333,114.1167,294.44,86,95,0.45,HK,1708636488
511,daman,20.4167,72.85,295.4,73,0,2.72,IN,1708636489
512,qa'en,33.7265,59.1844,277.16,48,10,1.42,IR,1708636489
513,dalbandin,28.8947,64.4101,283.84,21,0,2.38,PK,1708636489
514,bikenibeu village,1.3673,173.1241,303.13,84,20,5.66,KI,1708636491
515,holualoa,19.6228,-155.9522,297.9,58,9,0.45,US,1708636491
516,springbok,-29.6643,17.8865,290.15,42,0,1.33,ZA,1708636491
517,liwale,-9.7667,37.9333,295.81,98,99,2.69,TZ,1708636491
518,bojia,26.4672,111.9681,271.15,85,100,2.19,CN,1708636492
519,gamba,-2.65,10.0,300.46,84,100,1.16,GA,1708636492
520,ondjiva,-17.0667,15.7333,304.08,26,99,2.11,AO,1708636492
521,vyaz'ma,55.2104,34.2951,273.43,98,100,4.36,RU,1708636493
522,ceeldheer,3.8488,47.1806,300.08,81,100,9.34,SO,1708636493
523,dawson creek,55.7666,-120.2362,282.95,23,20,12.35,CA,1708636493
524,ocean shores,46.9737,-124.1563,287.01,77,100,1.54,US,1708636493
525,muisne,0.6,-80.0333,300.47,75,74,3.37,EC,1708636494
526,ibotirama,-12.1853,-43.2206,295.9,95,100,1.33,BR,1708636353
527,golere,16.2557,-14.1017,301.02,11,67,6.39,SN,1708636494
528,khammam,17.25,80.15,295.42,92,3,2.17,IN,1708636495
529,yuzhno-kurilsk,44.0306,145.8556,266.14,75,87,3.8,RU,1708636495
530,ulsteinvik,62.3432,5.8487,282.65,92,100,2.77,NO,1708636496
531,middle ridge,-27.6016,151.9621,295.33,85,11,0.45,AU,1708636496
532,tommot,58.9564,126.2925,249.88,99,100,1.56,RU,1708636496
533,amahai,-3.3333,128.9167,299.35,85,100,1.96,ID,1708636497
534,shakawe,-18.3667,21.85,297.91,29,0,2.04,BW,1708636497
535,cruzeiro do sul,-29.5128,-51.9853,304.55,64,0,2.96,BR,1708636498
536,sechura,-5.5569,-80.8222,301.83,65,34,6.63,PE,1708636498
537,de forest,43.2478,-89.3437,289.21,39,40,4.02,US,1708636210
538,mont-dore,-22.2833,166.5833,301.48,99,50,4.39,NC,1708636498
539,tsiombe,-25.3,45.4833,297.27,91,5,4.56,MG,1708636500
540,gananoque,44.3334,-76.1661,278.12,86,100,5.15,CA,1708636500
541,lazaro cardenas,17.9583,-102.2,300.93,63,2,4.93,MX,1708636500
542,nizao,18.25,-70.2,302.85,48,5,2.79,DO,1708636501
543,lensk,60.7253,114.9278,244.85,100,97,1.55,RU,1708636501
544,vilyuchinsk,52.9306,158.4028,259.3,85,90,4.19,RU,1708636501
545,naliya,23.2667,68.8333,292.97,55,0,3.69,IN,1708636502
546,libreville,0.3925,9.4537,300.63,81,100,2.77,GA,1708636485
547,tanjung pandan,-2.75,107.65,299.96,86,100,3.78,ID,1708636503
548,barras,-4.2444,-42.2944,298.21,85,77,1.35,BR,1708636504
549,borgarnes,64.5383,-21.9206,275.18,83,100,7.74,IS,1708636505
550,ciudad acuna,29.3232,-100.9522,305.6,11,0,5.66,MX,1708636505
551,sarankhola,22.3082,89.7897,295.3,93,15,2.3,BD,1708636505
552,san sebastian de la gomera,28.0916,-17.1133,293.36,77,0,2.06,ES,1708636506
553,aswan,24.0934,32.907,295.2,20,75,4.94,EG,1708636506
554,ciutadella,40.0011,3.8414,287.6,72,83,6.58,ES,1708636506
555,el porvenir,13.7617,-87.3458,305.78,13,0,2.64,HN,1708636507
556,pangoa,-12.1167,-73.0,295.44,99,100,1.01,PE,1708636507
557,marsa alam,25.0757,34.8918,293.84,59,51,5.26,EG,1708636508
558,manismata,-2.4667,111.0333,296.36,98,100,1.12,ID,1708636508
559,willowmore,-33.2926,23.4895,288.66,75,9,3.7,ZA,1708636509
560,mingguang,32.7802,117.9638,268.24,94,100,3.2,CN,1708636509
561,chifeng,42.2683,118.9636,261.04,44,8,0.52,CN,1708636509
562,mishan,45.55,131.8833,255.92,91,9,3.95,CN,1708636510
563,waitara,-38.925,174.25,293.42,83,100,4.63,NZ,1708636510
564,mingora,34.7758,72.3625,277.94,49,0,3.39,PK,1708636510
565,as sulayyil,20.4607,45.5779,295.29,31,0,6.29,SA,1708636511
566,collaroy,-33.7382,151.2997,298.61,84,2,1.79,AU,1708636511
567,amqui,48.4638,-67.4313,272.9,84,75,4.69,CA,1708636512
568,robertsport,6.7533,-11.3686,300.77,86,25,6.06,LR,1708636513
569,ouargaye,11.5033,0.0572,302.87,11,28,3.09,BF,1708636295
570,saint-pierre,-21.3393,55.4781,297.97,94,100,2.06,RE,1708636514
571,smara,26.7384,-11.6719,294.01,36,0,7.63,EH,1708636514
572,adrar,20.5022,-10.0711,292.52,10,2,5.5,MR,1708636515
573,aitape,-3.1374,142.3475,298.59,90,100,1.88,PG,1708636515
574,lethem,3.3803,-59.7968,310.2,25,59,4.36,GY,1708636515
575,lubuklinggau,-3.3,102.8667,295.87,92,62,1.19,ID,1708636516
576,parral,26.9333,-105.6667,301.08,7,48,8.1,MX,1708636516
577,iquitos,-3.7481,-73.2472,307.17,55,20,3.09,PE,1708636516
578,nikolayevsk-on-amure,53.1406,140.73,247.3,95,51,2.3,RU,1708636517
